"Town","Price"
"A",399900
"A",425000
"B",489000
"A",509900
"B",599000
"B",599900
"A",699000
"A",759000
"B",799000
"A",815900
"B",990000
"A",995000
"B",1099000
"A",1195000
"B",1198000
"B",1395000
"A",1475000
"A",1495000
"A",1595000
"A",1650000
"B",1675000
"A",1799000
"A",1895000
"B",1990000
"B",1999800
"B",2195000
"A",2495000
"A",2595000
"B",2850000
"B",2950000
"B",2999900
"B",3295000
"B",3395000
"B",3595000
"B",3750000
"A",3785000
"A",4295000
"B",4895000
"A",4950000
"A",5900000
"B",5900000
"A",5999000
